transaction_id,purchase_date,customer_id,gender,age_group,marketing_channel,product_category,device_type,session_duration_min,email_opens_last_30d,click_through_rate,repeat_customer,quantity,purchase_amount_usd,month,day_name,is_weekend
T100210,2025-12-09,C1011,Female,25-34,Paid Search,Fashion,Tablet,8.3,2,0.071,0,1,83.56,2025-12,Tuesday,False
T100211,2025-08-12,C1317,Female,25-34,Referral,Fitness,Mobile,2.5,5,0.064,1,1,111.01,2025-08,Tuesday,False
T100212,2025-08-13,C1079,Female,55+,Referral,Fitness,Mobile,4.3,1,0.062,0,1,99.73,2025-08,Wednesday,False
T100213,2025-05-06,C1215,Female,18-24,Social,Home,Mobile,9.4,3,0.091,1,1,135.09,2025-05,Tuesday,False
T100214,2025-05-10,C1263,Female,45-54,Social,Electronics,Mobile,3.6,2,0.16,1,1,336.1,2025-05,Saturday,True
T100215,2025-02-22,C1148,Female,25-34,Social,Home,Desktop,5.0,3,0.107,0,1,78.99,2025-02,Saturday,True
T100216,2025-06-21,C1080,Male,35-44,Email,Fitness,Mobile,4.9,4,0.049,1,1,81.94,2025-06,Saturday,True
T100217,2025-08-06,C1214,,45-54,Email,Electronics,Mobile,6.3,5,0.063,0,2,332.33,2025-08,Wednesday,False
T100218,2025-06-09,C1197,Female,45-54,Social,Electronics,Desktop,7.1,4,0.074,0,1,227.89,2025-06,Monday,False
T100219,2025-07-17,C1199,Female,25-34,Social,Electronics,Desktop,1.8,1,0.056,0,2,389.78,2025-07,Thursday,False
T100220,2025-09-04,C1024,Male,25-34,Email,Fitness,Tablet,2.7,2,0.051,1,1,131.07,2025-09,Thursday,False
T100221,2025-11-20,C1088,Female,25-34,Referral,Fashion,Desktop,2.7,4,0.104,0,1,63.96,2025-11,Thursday,False
T100222,2025-07-22,C1267,Female,18-24,Email,Fashion,Mobile,3.0,5,0.067,1,1,44.65,2025-07,Tuesday,False
T100223,2025-07-03,C1142,Male,25-34,Paid Search,Beauty,Mobile,6.5,3,0.093,0,2,55.94,2025-07,Thursday,False
T100224,2025-05-03,C1058,Female,25-34,Social,Fashion,Mobile,7.0,0,0.135,0,1,100.29,2025-05,Saturday,True
T100225,2025-09-12,C1025,Male,25-34,Email,Fitness,Mobile,9.0,2,0.066,1,3,393.76,2025-09,Friday,False
T100226,2025-10-21,C1046,Male,35-44,Email,Beauty,Desktop,7.9,5,0.09,0,1,23.22,2025-10,Tuesday,False
T100227,2025-10-07,C1287,Female,25-34,Paid Search,Beauty,Desktop,5.0,3,0.051,0,1,52.41,2025-10,Tuesday,False
T100228,2025-11-21,C1265,Female,25-34,Social,Electronics,Mobile,7.1,3,0.094,1,3,666.62,2025-11,Friday,False
T100229,2025-04-08,C1015,Male,25-34,Paid Search,Fashion,Mobile,9.1,5,0.121,0,1,68.92,2025-04,Tuesday,False
T100230,2025-07-17,C1198,Female,45-54,Social,Home,Mobile,5.9,6,0.119,0,1,73.28,2025-07,Thursday,False
T100231,2025-08-28,C1281,Female,45-54,Organic Search,Home,Tablet,5.7,2,0.083,0,3,344.26,2025-08,Thursday,False
T100232,2025-05-24,C1085,Male,35-44,Email,Fitness,Desktop,4.1,4,0.066,0,1,134.22,2025-05,Saturday,True
T100233,2025-04-07,C1249,Male,45-54,Referral,Home,Desktop,4.5,4,0.089,1,1,105.48,2025-04,Monday,False
T100234,2025-07-20,C1269,Female,25-34,Email,Electronics,Desktop,8.2,4,0.084,1,4,798.44,2025-07,Sunday,True
T100235,2025-05-04,C1116,Male,35-44,Referral,Fitness,Tablet,6.5,2,0.096,0,1,164.06,2025-05,Sunday,True
T100236,2025-07-06,C1006,Female,25-34,Organic Search,Electronics,Desktop,11.4,4,0.063,0,2,461.85,2025-07,Sunday,True
T100237,2025-11-22,C1136,Male,25-34,Referral,Fitness,Desktop,4.8,7,0.07,0,1,119.47,2025-11,Saturday,True
T100238,2025-12-15,C1175,Male,35-44,Email,Beauty,Mobile,8.4,6,0.075,1,2,91.04,2025-12,Monday,False
T100239,2025-09-16,C1314,Male,45-54,Organic Search,Fitness,Mobile,7.5,1,0.102,0,1,79.0,2025-09,Tuesday,False
T100240,2025-05-28,C1214,Male,18-24,Email,Fitness,Mobile,6.3,3,0.106,0,4,439.27,2025-05,Wednesday,False
T100241,2025-09-09,C1081,,35-44,Email,Beauty,Mobile,5.4,4,0.069,1,1,51.67,2025-09,Tuesday,False
T100242,2025-12-12,C1222,Female,35-44,Organic Search,Beauty,Tablet,8.0,5,0.047,1,1,43.68,2025-12,Friday,False
T100243,2025-05-27,C1102,Male,18-24,Email,Fitness,Mobile,7.9,4,0.093,0,1,99.89,2025-05,Tuesday,False
T100244,2025-05-28,C1272,Female,25-34,Organic Search,Fitness,Desktop,7.0,6,0.104,0,1,96.22,2025-05,Wednesday,False
T100245,2025-12-18,C1013,Female,25-34,Email,Fitness,Mobile,7.6,5,0.078,0,2,228.25,2025-12,Thursday,False
T100246,2025-07-18,C1158,Female,25-34,Paid Search,Fashion,Mobile,6.6,3,0.061,0,2,130.79,2025-07,Friday,False
T100247,2025-11-04,C1151,Non-binary,25-34,Social,Electronics,Tablet,2.4,7,0.068,1,1,211.65,2025-11,Tuesday,False
T100248,2025-05-08,C1107,Non-binary,25-34,Paid Search,Home,Mobile,6.7,3,0.131,1,2,208.71,2025-05,Thursday,False
T100249,2025-02-08,C1187,Female,25-34,Organic Search,Fashion,Mobile,5.8,5,0.089,1,1,85.97,2025-02,Saturday,True
T100250,2025-12-04,C1300,Female,45-54,Social,Home,Mobile,11.4,2,0.112,0,1,69.57,2025-12,Thursday,False
T100251,2025-12-26,C1097,Male,35-44,Social,Electronics,Desktop,8.1,6,0.058,0,1,153.76,2025-12,Friday,False
T100252,2025-05-09,C1130,Female,55+,Paid Search,Beauty,Mobile,7.0,2,0.118,0,1,47.09,2025-05,Friday,False
T100253,2025-09-24,C1292,Female,25-34,Social,Electronics,Desktop,7.7,3,0.109,0,1,170.68,2025-09,Wednesday,False
T100254,2025-05-31,C1170,Male,45-54,Referral,Electronics,Desktop,3.9,1,0.079,1,2,449.76,2025-05,Saturday,True
T100255,2025-10-25,C1182,Male,45-54,Social,Fashion,Desktop,5.0,0,0.1,0,1,93.58,2025-10,Saturday,True
T100256,2025-04-09,C1038,,35-44,Organic Search,Beauty,Desktop,5.7,3,0.121,0,1,48.97,2025-04,Wednesday,False
T100257,2025-09-20,C1014,Female,25-34,Organic Search,Home,Mobile,7.5,3,0.049,0,1,136.72,2025-09,Saturday,True
T100258,2025-09-09,C1003,Female,45-54,Social,Fashion,Mobile,5.4,1,0.066,0,2,121.13,2025-09,Tuesday,False
T100259,2025-05-24,C1209,Male,25-34,Organic Search,Fashion,Desktop,5.2,6,0.098,0,1,99.37,2025-05,Saturday,True
T100260,2025-12-12,C1160,Male,25-34,Email,Home,Mobile,3.8,3,0.083,1,1,138.87,2025-12,Friday,False
T100261,2025-04-22,C1015,Male,35-44,Email,Electronics,Mobile,6.6,2,0.094,0,1,184.99,2025-04,Tuesday,False
T100262,2025-03-01,C1107,Male,35-44,Social,Fashion,Mobile,6.9,3,0.103,1,2,196.6,2025-03,Saturday,True
T100263,2025-01-02,C1310,Female,18-24,Paid Search,Fitness,Desktop,7.6,6,0.097,0,1,96.24,2025-01,Thursday,False
T100264,2025-10-31,C1226,Male,55+,Social,Fitness,Mobile,4.8,2,0.074,0,2,145.53,2025-10,Friday,False
T100265,2025-09-11,C1169,Female,35-44,Paid Search,Fashion,Mobile,7.4,2,0.076,1,1,92.93,2025-09,Thursday,False
T100266,2025-05-20,C1033,Female,25-34,Organic Search,Fitness,Desktop,3.9,2,0.129,0,2,187.12,2025-05,Tuesday,False
T100267,2025-02-06,C1250,Male,55+,Email,Home,Desktop,6.0,5,0.085,1,1,92.06,2025-02,Thursday,False
T100268,2025-06-09,C1246,Female,25-34,Email,Fitness,Mobile,7.3,2,0.123,0,1,118.11,2025-06,Monday,False
T100269,2025-01-09,C1268,Female,55+,Referral,Home,Mobile,5.9,4,0.125,0,1,99.58,2025-01,Thursday,False
T100270,2025-08-21,C1140,Male,35-44,Referral,Fitness,Desktop,2.6,1,0.059,1,1,99.72,2025-08,Thursday,False
T100271,2025-04-09,C1273,Male,18-24,Social,Fitness,Tablet,2.9,3,0.104,1,1,92.89,2025-04,Wednesday,False
T100272,2025-05-27,C1095,Male,45-54,Paid Search,Electronics,Desktop,7.1,0,0.05,1,3,563.89,2025-05,Tuesday,False
T100273,2025-10-31,C1226,Female,35-44,Social,Beauty,Mobile,7.9,3,0.131,1,4,262.52,2025-10,Friday,False
T100274,2025-07-27,C1038,Male,45-54,Organic Search,Home,Mobile,7.3,2,0.088,0,2,265.79,2025-07,Sunday,True
T100275,2025-05-11,C1301,Female,55+,Organic Search,Home,Desktop,8.0,1,0.086,1,1,129.81,2025-05,Sunday,True
T100276,2025-06-01,C1028,Female,45-54,Email,Fitness,Desktop,5.8,3,0.056,1,1,124.4,2025-06,Sunday,True
T100277,2025-02-23,C1317,,35-44,Organic Search,Home,Mobile,8.3,2,0.064,0,1,94.63,2025-02,Sunday,True
T100278,2025-04-30,C1244,Male,45-54,Social,Fashion,Mobile,7.3,2,0.089,0,1,75.6,2025-04,Wednesday,False
T100279,2025-06-10,C1235,Male,35-44,Referral,Electronics,Desktop,4.9,2,0.085,1,3,898.74,2025-06,Tuesday,False
T100280,2025-04-26,C1184,Female,25-34,Email,Fitness,Mobile,7.8,4,0.07,0,1,128.76,2025-04,Saturday,True
T100281,2025-03-16,C1271,Male,45-54,Unknown,Fashion,Mobile,7.2,3,0.108,0,4,396.78,2025-03,Sunday,True
T100282,2025-04-23,C1235,Male,25-34,Organic Search,Fitness,Mobile,10.7,2,0.082,1,1,50.47,2025-04,Wednesday,False
T100283,2025-04-14,C1238,Male,35-44,Paid Search,Beauty,Mobile,9.9,0,0.052,0,2,84.53,2025-04,Monday,False
T100284,2025-12-06,C1265,Male,45-54,Email,Fashion,Mobile,6.3,3,0.104,0,1,57.27,2025-12,Saturday,True
T100285,2025-09-11,C1064,Female,35-44,Paid Search,Home,Desktop,5.5,1,0.047,1,3,255.0,2025-09,Thursday,False
T100286,2025-08-15,C1176,Female,35-44,Paid Search,Electronics,Mobile,10.4,2,0.024,0,1,196.41,2025-08,Friday,False
T100287,2025-04-22,C1002,Male,45-54,Paid Search,Home,Mobile,7.9,1,0.085,1,2,191.97,2025-04,Tuesday,False
T100288,2025-04-09,C1141,Female,25-34,Social,Electronics,Mobile,6.1,5,0.051,0,2,334.4,2025-04,Wednesday,False
T100289,2025-06-02,C1157,Female,45-54,Social,Fashion,Mobile,1.5,3,0.087,0,1,60.34,2025-06,Monday,False
T100291,2025-12-04,C1145,Male,18-24,Referral,Fashion,Mobile,4.4,0,0.112,1,1,74.01,2025-12,Thursday,False
T100292,2025-07-13,C1292,Male,25-34,Paid Search,Fashion,Desktop,6.1,3,0.097,0,1,82.97,2025-07,Sunday,True
T100293,2025-11-06,C1152,Male,35-44,Paid Search,Electronics,Mobile,8.0,1,0.042,0,1,177.84,2025-11,Thursday,False
T100294,2025-06-12,C1192,Male,35-44,Social,Fitness,Mobile,8.4,5,0.06,0,1,121.73,2025-06,Thursday,False
T100295,2025-07-27,C1072,Female,45-54,Email,Electronics,Mobile,10.3,3,0.082,0,1,116.63,2025-07,Sunday,True
T100296,2025-06-18,C1304,Female,25-34,Paid Search,Beauty,Mobile,8.8,1,0.082,0,2,91.06,2025-06,Wednesday,False
T100297,2025-06-10,C1139,Female,25-34,Paid Search,Electronics,Desktop,3.2,4,0.054,0,1,182.81,2025-06,Tuesday,False
T100298,2025-03-09,C1186,Female,18-24,Email,Fashion,Mobile,9.1,7,0.068,0,1,80.16,2025-03,Sunday,True
T100299,2025-10-16,C1292,Male,25-34,Social,Fashion,Tablet,10.8,2,0.106,0,3,177.39,2025-10,Thursday,False
T100300,2025-10-04,C1060,Female,35-44,Paid Search,Electronics,Mobile,10.7,5,0.097,1,2,460.11,2025-10,Saturday,True
T100301,2025-10-31,C1197,Female,18-24,Organic Search,Electronics,Desktop,3.5,3,0.073,1,1,129.15,2025-10,Friday,False
T100302,2025-05-15,C1294,Female,25-34,Email,Fitness,Mobile,6.0,1,0.113,0,1,99.32,2025-05,Thursday,False
T100303,2025-07-14,C1318,Female,25-34,Social,Electronics,Desktop,8.9,2,0.042,0,1,211.0,2025-07,Monday,False
T100304,2025-05-08,C1301,Female,18-24,Paid Search,Fashion,Mobile,3.6,1,0.107,1,2,143.11,2025-05,Thursday,False
T100305,2025-02-02,C1010,Female,25-34,Social,Beauty,Mobile,2.2,4,0.103,1,2,162.94,2025-02,Sunday,True
T100306,2025-06-25,C1061,Female,25-34,Paid Search,Home,Desktop,7.3,2,0.104,0,1,82.75,2025-06,Wednesday,False
T100307,2025-01-22,C1225,Female,45-54,Email,Fashion,Desktop,4.8,6,0.091,1,2,158.32,2025-01,Wednesday,False
T100308,2025-08-26,C1152,Female,45-54,Organic Search,Beauty,Mobile,2.4,0,0.062,0,1,51.75,2025-08,Tuesday,False
T100309,2025-06-07,C1198,Male,35-44,Email,Fashion,Mobile,9.6,2,0.1,0,1,121.53,2025-06,Saturday,True
T100310,2025-02-07,C1051,Female,55+,Unknown,Fashion,Mobile,6.9,1,0.07,0,2,105.4,2025-02,Friday,False
T100311,2025-08-18,C1259,Female,25-34,Paid Search,Electronics,Desktop,5.2,3,0.088,1,1,176.0,2025-08,Monday,False
T100312,2025-12-31,C1058,Male,35-44,Referral,Electronics,Mobile,4.1,4,0.06,0,1,175.93,2025-12,Wednesday,False
T100313,2025-02-20,C1071,Female,55+,Email,Fashion,Mobile,6.9,1,0.072,1,1,65.59,2025-02,Thursday,False
T100314,2025-09-21,C1147,Male,25-34,Social,Fashion,Desktop,7.8,4,0.078,0,3,317.44,2025-09,Sunday,True
T100315,2025-10-10,C1062,Male,55+,Email,Electronics,Desktop,7.3,6,0.094,0,1,146.22,2025-10,Friday,False
T100316,2025-01-27,C1309,Female,18-24,Paid Search,Fashion,Desktop,2.7,3,0.099,0,1,89.51,2025-01,Monday,False
T100317,2025-08-14,C1242,Male,25-34,Paid Search,Home,Desktop,7.7,5,0.133,1,1,108.26,2025-08,Thursday,False
T100318,2025-10-04,C1106,Female,18-24,Referral,Electronics,Desktop,8.2,3,0.086,0,1,266.79,2025-10,Saturday,True
T100319,2025-10-13,C1225,Male,35-44,Paid Search,Fashion,Mobile,5.6,3,0.054,0,1,56.93,2025-10,Monday,False
T100320,2025-04-07,C1312,Female,35-44,Email,Electronics,Mobile,9.1,7,0.106,0,1,164.81,2025-04,Monday,False
T100321,2025-10-11,C1217,Male,35-44,Paid Search,Fashion,Desktop,4.4,3,0.092,1,2,221.58,2025-10,Saturday,True
T100322,2025-11-13,C1240,Female,25-34,Email,Electronics,Mobile,9.7,3,0.076,0,1,208.38,2025-11,Thursday,False
T100323,2025-10-31,C1258,Male,25-34,Email,Fitness,Desktop,6.8,3,0.07,0,1,89.0,2025-10,Friday,False
T100324,2025-05-27,C1261,Male,18-24,Organic Search,Electronics,Mobile,5.3,5,0.063,0,1,174.28,2025-05,Tuesday,False
T100325,2025-01-04,C1004,Female,25-34,Email,Beauty,Mobile,5.7,5,0.062,1,1,47.81,2025-01,Saturday,True
T100326,2025-02-04,C1260,Female,55+,Email,Fitness,Tablet,9.0,3,0.045,1,3,307.16,2025-02,Tuesday,False
T100327,2025-07-11,C1053,Male,25-34,Social,Electronics,Desktop,7.1,5,0.111,1,1,158.79,2025-07,Friday,False
T100328,2025-02-18,C1046,Male,45-54,Paid Search,Beauty,Mobile,8.1,1,0.095,0,1,32.43,2025-02,Tuesday,False
T100329,2025-01-17,C1214,Female,45-54,Email,Beauty,Desktop,9.2,4,0.085,0,2,97.7,2025-01,Friday,False
T100330,2025-06-21,C1176,Male,25-34,Paid Search,Electronics,Desktop,5.2,2,0.063,1,2,490.62,2025-06,Saturday,True
T100331,2025-08-08,C1008,Non-binary,35-44,Social,Fashion,Mobile,6.8,4,0.115,0,2,189.5,2025-08,Friday,False
T100332,2025-06-07,C1098,Male,18-24,Paid Search,Home,Mobile,5.9,0,0.039,0,1,122.53,2025-06,Saturday,True
T100333,2025-02-15,C1019,Female,18-24,Organic Search,Beauty,Desktop,9.0,3,0.078,0,1,54.48,2025-02,Saturday,True
T100334,2025-01-06,C1240,Male,18-24,Email,Beauty,Desktop,5.5,3,0.111,1,1,37.8,2025-01,Monday,False
T100335,2025-04-09,C1060,Female,35-44,Organic Search,Beauty,Mobile,6.6,3,0.022,0,2,58.69,2025-04,Wednesday,False
T100336,2025-08-21,C1177,,25-34,Paid Search,Electronics,Desktop,12.2,1,0.087,1,1,181.34,2025-08,Thursday,False
T100337,2025-02-06,C1061,Male,35-44,Organic Search,Home,Desktop,9.7,4,0.062,1,1,137.47,2025-02,Thursday,False
T100338,2025-10-07,C1144,Female,35-44,Social,Home,Mobile,3.9,0,0.086,0,1,101.62,2025-10,Tuesday,False
T100339,2025-12-15,C1215,Male,25-34,Organic Search,Fitness,Desktop,8.8,4,0.071,0,1,90.18,2025-12,Monday,False
T100340,2025-10-29,C1002,Female,35-44,Paid Search,Fashion,Mobile,8.2,3,0.1,1,1,70.71,2025-10,Wednesday,False
T100341,2025-06-30,C1159,,45-54,Paid Search,Beauty,Mobile,3.7,6,0.119,1,3,106.93,2025-06,Monday,False
T100342,2025-04-05,C1226,,18-24,Paid Search,Electronics,Desktop,6.2,1,0.157,1,1,156.92,2025-04,Saturday,True
T100343,2025-04-09,C1268,Male,25-34,Email,Electronics,Desktop,4.1,4,0.079,1,1,206.11,2025-04,Wednesday,False
T100344,2025-07-07,C1119,Female,35-44,Email,Electronics,Desktop,0.5,3,0.104,0,3,744.94,2025-07,Monday,False
T100345,2025-04-26,C1088,Male,25-34,Social,Electronics,Mobile,6.1,6,0.092,1,1,328.83,2025-04,Saturday,True
T100346,2025-07-10,C1067,Female,35-44,Paid Search,Home,Mobile,5.2,4,0.094,0,2,192.74,2025-07,Thursday,False
T100347,2025-09-10,C1097,Female,25-34,Paid Search,Electronics,Mobile,3.7,3,0.126,1,1,174.87,2025-09,Wednesday,False
T100348,2025-06-10,C1266,Male,25-34,Organic Search,Electronics,Mobile,6.5,3,0.061,1,1,137.31,2025-06,Tuesday,False
T100349,2025-09-13,C1104,Female,18-24,Organic Search,Electronics,Mobile,1.2,2,0.071,1,1,292.69,2025-09,Saturday,True
T100351,2025-05-08,C1122,,35-44,Social,Electronics,Mobile,6.5,2,0.052,1,1,187.57,2025-05,Thursday,False
T100352,2025-01-18,C1028,Female,25-34,Email,Electronics,Desktop,8.2,5,0.082,0,1,189.82,2025-01,Saturday,True
T100353,2025-10-08,C1136,Female,45-54,Social,Home,Mobile,2.5,3,0.102,1,2,215.55,2025-10,Wednesday,False
T100354,2025-08-11,C1194,Non-binary,45-54,Social,Beauty,Desktop,11.8,6,0.107,0,1,32.73,2025-08,Monday,False
T100355,2025-02-23,C1225,Female,35-44,Social,Electronics,Mobile,10.9,6,0.076,0,1,223.58,2025-02,Sunday,True
T100356,2025-02-27,C1169,Male,45-54,Organic Search,Home,Mobile,4.6,4,0.116,0,1,62.19,2025-02,Thursday,False
T100357,2025-11-19,C1008,,25-34,Email,Home,Mobile,10.1,4,0.02,0,1,126.67,2025-11,Wednesday,False
T100358,2025-12-26,C1039,Male,25-34,Paid Search,Electronics,Mobile,8.6,3,0.152,1,2,342.26,2025-12,Friday,False
T100359,2025-06-23,C1024,Male,35-44,Organic Search,Electronics,Desktop,5.4,3,0.099,1,2,460.72,2025-06,Monday,False
T100360,2025-10-07,C1260,Female,25-34,Paid Search,Beauty,Mobile,5.0,5,0.069,0,4,127.26,2025-10,Tuesday,False
T100361,2025-04-24,C1225,Female,35-44,Referral,Fitness,Desktop,5.2,1,0.096,0,2,183.18,2025-04,Thursday,False
T100362,2025-10-15,C1123,Male,25-34,Paid Search,Electronics,Tablet,13.6,5,0.077,0,1,215.03,2025-10,Wednesday,False
T100363,2025-12-08,C1037,Male,35-44,Paid Search,Electronics,Desktop,9.9,2,0.019,1,2,540.93,2025-12,Monday,False
T100364,2025-05-31,C1250,Male,45-54,Paid Search,Fashion,Mobile,6.0,8,0.083,0,1,96.47,2025-05,Saturday,True
T100365,2025-05-07,C1175,Female,45-54,Paid Search,Electronics,Desktop,6.2,6,0.109,1,1,211.11,2025-05,Wednesday,False
T100366,2025-06-04,C1089,Female,35-44,Organic Search,Electronics,Mobile,8.6,2,0.111,1,1,172.06,2025-06,Wednesday,False
T100367,2025-09-30,C1036,Female,45-54,Social,Fashion,Mobile,6.5,3,0.09,0,1,53.4,2025-09,Tuesday,False
T100368,2025-04-14,C1315,Male,35-44,Social,Fashion,Desktop,4.1,2,0.111,1,2,225.37,2025-04,Monday,False
T100369,2025-10-26,C1175,Female,35-44,Social,Home,Desktop,6.5,2,0.095,1,1,114.89,2025-10,Sunday,True
T100370,2025-09-03,C1283,Male,18-24,Referral,Beauty,Mobile,5.1,2,0.089,1,1,47.64,2025-09,Wednesday,False
T100371,2025-06-25,C1080,Male,25-34,Social,Electronics,Mobile,6.9,6,0.061,0,1,244.24,2025-06,Wednesday,False
T100372,2025-02-08,C1113,Female,25-34,Email,Electronics,Mobile,6.4,1,0.072,0,1,239.82,2025-02,Saturday,True
T100373,2025-06-19,C1039,Male,55+,Social,Beauty,Mobile,9.0,0,0.074,1,1,43.54,2025-06,Thursday,False
T100374,2025-09-04,C1300,Female,25-34,Email,Electronics,Mobile,5.8,5,0.091,0,2,418.96,2025-09,Thursday,False
T100375,2025-01-26,C1223,Male,35-44,Email,Home,Tablet,6.8,4,0.106,1,1,96.95,2025-01,Sunday,True
T100376,2025-12-21,C1317,Male,35-44,Organic Search,Fashion,Tablet,1.8,3,0.064,0,2,108.83,2025-12,Sunday,True
T100377,2025-11-02,C1114,Male,35-44,Paid Search,Fashion,Desktop,7.3,5,0.04,0,1,108.26,2025-11,Sunday,True
T100378,2025-01-13,C1185,Male,45-54,Email,Electronics,Mobile,6.5,0,0.125,0,1,158.65,2025-01,Monday,False
T100380,2025-11-09,C1055,Female,35-44,Email,Beauty,Desktop,9.3,2,0.097,0,2,129.725,2025-11,Sunday,True
T100381,2025-02-05,C1039,Male,45-54,Referral,Fashion,Desktop,6.4,5,0.09,1,1,68.01,2025-02,Wednesday,False
T100382,2025-06-22,C1039,Female,25-34,Email,Electronics,Mobile,1.3,3,0.072,0,2,527.73,2025-06,Sunday,True
T100383,2025-01-20,C1236,Female,25-34,Email,Electronics,Mobile,4.5,2,0.1,1,4,942.66,2025-01,Monday,False
T100384,2025-11-17,C1288,Female,35-44,Paid Search,Electronics,Mobile,6.5,5,0.046,1,4,752.51,2025-11,Monday,False
T100385,2025-09-21,C1261,Male,45-54,Paid Search,Home,Mobile,6.6,1,0.131,0,2,155.85,2025-09,Sunday,True
T100386,2025-05-22,C1215,Female,18-24,Referral,Home,Desktop,5.3,3,0.161,0,2,181.36,2025-05,Thursday,False
T100387,2025-05-23,C1146,Male,45-54,Email,Fashion,Desktop,0.3,1,0.119,0,1,32.26,2025-05,Friday,False
T100388,2025-04-02,C1167,,45-54,Organic Search,Fitness,Mobile,5.1,4,0.058,0,2,199.73,2025-04,Wednesday,False
T100389,2025-12-20,C1091,Female,25-34,Social,Home,Mobile,9.2,2,0.012,1,1,145.53,2025-12,Saturday,True
T100390,2025-11-18,C1058,Female,55+,Referral,Home,Mobile,10.0,3,0.096,0,3,279.31,2025-11,Tuesday,False
T100391,2025-10-15,C1058,Female,45-54,Organic Search,Electronics,Mobile,5.0,4,0.043,0,1,227.77,2025-10,Wednesday,False
T100392,2025-08-03,C1303,Male,45-54,Social,Fashion,Mobile,11.2,1,0.07,1,1,67.49,2025-08,Sunday,True
T100393,2025-12-08,C1168,Female,45-54,Email,Fashion,Desktop,2.5,4,0.128,0,1,101.39,2025-12,Monday,False
T100394,2025-02-20,C1268,Female,18-24,Paid Search,Fashion,Mobile,4.5,1,0.131,1,1,97.33,2025-02,Thursday,False
T100395,2025-06-02,C1044,Female,25-34,Paid Search,Fashion,Desktop,6.5,4,0.134,0,1,83.52,2025-06,Monday,False
T100396,2025-07-05,C1180,Male,25-34,Referral,Electronics,Mobile,8.3,2,0.085,1,1,206.57,2025-07,Saturday,True
T100397,2025-03-04,C1169,Female,25-34,Email,Electronics,Mobile,6.5,3,0.109,0,2,323.41,2025-03,Tuesday,False
T100398,2025-07-09,C1190,Male,25-34,Email,Beauty,Mobile,3.7,7,0.022,0,1,42.53,2025-07,Wednesday,False
T100399,2025-05-05,C1154,Male,45-54,Paid Search,Fashion,Desktop,3.7,1,0.037,0,1,88.52,2025-05,Monday,False
T100400,2025-05-30,C1187,Female,45-54,Email,Electronics,Mobile,4.7,2,0.073,0,2,255.81,2025-05,Friday,False
T100401,2025-11-10,C1006,Male,35-44,Email,Electronics,Desktop,3.8,6,0.107,0,1,180.41,2025-11,Monday,False
T100402,2025-02-27,C1132,Female,45-54,Referral,Fashion,Mobile,6.8,5,0.069,0,1,81.31,2025-02,Thursday,False
T100403,2025-12-08,C1234,Male,45-54,Paid Search,Electronics,Desktop,6.3,1,0.106,1,2,485.64,2025-12,Monday,False
T100404,2025-11-01,C1044,Male,25-34,Organic Search,Home,Desktop,3.6,2,0.047,0,2,232.87,2025-11,Saturday,True
T100405,2025-06-29,C1313,Male,25-34,Social,Fitness,Mobile,5.6,1,0.085,1,1,86.4,2025-06,Sunday,True
T100406,2025-06-19,C1248,Female,35-44,Paid Search,Electronics,Desktop,0.3,3,0.098,0,1,242.8,2025-06,Thursday,False
T100407,2025-11-22,C1030,Female,35-44,Email,Electronics,Mobile,7.3,3,0.105,1,1,241.4,2025-11,Saturday,True
T100408,2025-09-28,C1022,Female,25-34,Email,Fashion,Desktop,8.3,3,0.068,0,1,62.87,2025-09,Sunday,True
T100409,2025-02-23,C1159,Female,35-44,Paid Search,Fitness,Mobile,4.2,3,0.083,0,1,111.5,2025-02,Sunday,True
T100410,2025-04-11,C1157,Female,18-24,Organic Search,Fashion,Mobile,4.5,7,0.036,0,3,129.07,2025-04,Friday,False
T100411,2025-09-21,C1038,Female,45-54,Paid Search,Home,Desktop,7.1,2,0.079,0,2,226.12,2025-09,Sunday,True
T100412,2025-02-22,C1081,Female,45-54,Email,Electronics,Desktop,6.8,0,0.114,0,2,412.86,2025-02,Saturday,True
T100413,2025-03-01,C1257,Female,35-44,Organic Search,Fitness,Mobile,8.4,7,0.074,0,1,87.24,2025-03,Saturday,True
T100414,2025-04-18,C1205,Male,55+,Referral,Beauty,Desktop,4.6,0,0.06,1,2,83.88,2025-04,Friday,False
T100415,2025-01-05,C1076,Male,45-54,Unknown,Electronics,Mobile,4.8,3,0.105,1,1,216.93,2025-01,Sunday,True
T100416,2025-04-13,C1011,Female,55+,Social,Fashion,Mobile,5.9,1,0.151,0,1,70.9,2025-04,Sunday,True
T100417,2025-07-15,C1294,Female,55+,Social,Electronics,Desktop,3.8,7,0.147,1,1,101.32,2025-07,Tuesday,False
T100418,2025-09-19,C1223,Female,45-54,Paid Search,Electronics,Mobile,5.9,4,0.09,1,1,137.63,2025-09,Friday,False
T100419,2025-12-31,C1012,Non-binary,35-44,Social,Electronics,Mobile,3.9,2,0.105,1,3,574.24,2025-12,Wednesday,False
T100420,2025-12-16,C1045,Female,18-24,Email,Home,Desktop,7.5,2,0.131,0,1,83.69,2025-12,Tuesday,False
T100421,2025-02-16,C1154,Male,25-34,Social,Home,Mobile,4.2,3,0.089,0,1,121.79,2025-02,Sunday,True
T100422,2025-12-21,C1112,,35-44,Social,Beauty,Desktop,7.1,4,0.096,0,1,40.64,2025-12,Sunday,True
